@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
11,'2019/09/17 09:59:41:746',1,-12233663,-12170703,-11511995,-9143697,-8288385,-8222587,-8487050,-9210778,-10658230,-11645386,-12958671,-12369623,-11843530,-10988471,-10001828,-9409432,-9146520,-9277594,-9737891,-11513794,-12829404,-12502236,-11779278,-6053472,-789259,-1052429,-2237217,-5263441,-10591654,-15131121,-12764640,-12634850,-11714769,-5264984,-65538,-526600,-7633269,-14474467,-15460597,-15920637,-12764896,-12635877,-11781589,-5924712,-2437424,-3356725,-13949145,-15264241,-15789818,-15986686,-12633567,-13095655,-12243677,-10930123,-10075579,-10075578,-13754339,-14541804,-12505306,-15330298,-12632798,-13949679,-12900836,-11194322,-10930633,-11128268,-12572120,-13950694,-15001330,-15855100,-12697303,-12568545,-12175320,-10597818,-9478816,-6714478,-12764613,-14540261,-14671338,-15459830,-12102331,-12304347,-11976147,-11121603,-10003629,-9476768,-9674407,-12237764,-13815257,-14669288,-11641527,-11974099,-11447230,-7367024,-5261639,-5064003,-5196622,-5921378,-9077902,-12563139,?
12,'2019/09/17 09:59:41:779',1,-12233663,-12170703,-11511995,-9143697,-8288385,-8222587,-8487050,-9210778,-10658230,-11645386,-12958671,-12369623,-11843530,-10988471,-10001828,-9409432,-9146520,-9277594,-9737891,-11513794,-12829404,-12502236,-11779278,-6053472,-789259,-1052429,-2237217,-5263441,-10591654,-15131121,-12764640,-12634850,-11714769,-5264984,-65538,-526600,-7633269,-14474467,-15460597,-15920637,-12764896,-12635877,-11781589,-5924712,-2437424,-3356725,-13949145,-15264241,-15789818,-15986686,-12633567,-13095655,-12243677,-10930123,-10075579,-10075578,-13754339,-14541804,-12505306,-15330298,-12632798,-13949679,-12900836,-11194322,-10930633,-11128268,-12572120,-13950694,-15001330,-15855100,-12697303,-12568545,-12175320,-10597818,-9478816,-6714478,-12764613,-14540261,-14671338,-15459830,-12102331,-12304347,-11976147,-11121603,-10003629,-9476768,-9674407,-12237764,-13815257,-14669288,-11641527,-11974099,-11447230,-7367024,-5261639,-5064003,-5196622,-5921378,-9077902,-12563139,?
13,'2019/09/17 09:59:41:813',1,-12299199,-12170703,-11511995,-9209232,-8288385,-8288123,-8552585,-9210778,-10658230,-11645387,-13024208,-12369623,-11843529,-10922934,-10001828,-9343896,-9146519,-9277594,-9737891,-11514050,-12894941,-12502236,-11779278,-6053472,-789259,-1052430,-2237217,-5263441,-10591910,-15131121,-12764640,-12635106,-11714768,-5264983,-65537,-592136,-7633269,-14408932,-15395061,-15855100,-12764897,-12635877,-11781589,-5924456,-2437424,-3356725,-14014681,-15264241,-15724282,-15986686,-12699103,-13030376,-12243677,-10930122,-10075579,-10009786,-13754339,-14541803,-12570843,-15330298,-12632798,-13949678,-12900836,-11194321,-10930633,-11128268,-12572121,-13885158,-15001586,-15854844,-12697560,-12568801,-12175320,-10597818,-9478816,-6780015,-12764613,-14540261,-14671338,-15459830,-12168123,-12238811,-11976148,-11056066,-10069165,-9411232,-9674407,-12237765,-13815001,-14669544,-11641527,-11974098,-11446974,-7367024,-5261639,-5064003,-5262158,-5921379,-9143438,-12628674,?
14,'2019/09/17 09:59:41:846',1,-12233663,-12170703,-11511995,-9143697,-8288384,-8288122,-8487049,-9210778,-10658230,-11645387,-12958671,-12369623,-11843529,-10922935,-10001828,-9343896,-9146519,-9277594,-9672355,-11513794,-12829405,-12502237,-11844814,-6119008,-789259,-1052429,-2237217,-5197648,-10526117,-15131121,-12764641,-12634850,-11714768,-5264984,-65538,-526600,-7567476,-14408931,-15395061,-15855100,-12764898,-12635878,-11781589,-5990248,-2437424,-3290932,-13949145,-15264241,-15789818,-15986686,-12633567,-13030120,-12243677,-10930122,-10141115,-10009786,-13754339,-14541803,-12505307,-15330298,-12698334,-13949678,-12966372,-11128785,-10930633,-11128267,-12572376,-13885158,-15001331,-15854844,-12697559,-12568801,-12175575,-10597818,-9544609,-6780271,-12764869,-14540261,-14671338,-15459830,-12167868,-12238811,-11976148,-11121603,-10069165,-9411232,-9674407,-12237764,-13815002,-14669288,-11641527,-11974099,-11447230,-7367023,-5327175,-5064002,-5196878,-5921379,-9077902,-12563138,?
15,'2019/09/17 09:59:41:879',1,-12299198,-12170703,-11446459,-9209232,-8288384,-8222586,-8487049,-9210778,-10658230,-11645387,-13024207,-12369623,-11843529,-10988471,-10001828,-9409432,-9146519,-9212058,-9737891,-11513794,-12894940,-12502236,-11779278,-6119264,-789259,-1052429,-2237217,-5197648,-10591653,-15131121,-12830176,-12635105,-11714769,-5265240,-65537,-526600,-7567476,-14408931,-15460597,-15855101,-12830432,-12635877,-11781589,-5990248,-2437424,-3290932,-14014425,-15198705,-15789818,-15986942,-12698847,-13030120,-12243677,-10930122,-10141115,-10009785,-13754083,-14476267,-12439514,-15330298,-12632798,-13949679,-12966373,-11128785,-10930633,-11128267,-12572120,-13885158,-15001587,-15854844,-12697303,-12568801,-12175576,-10597818,-9544609,-6846063,-12764613,-14540261,-14671338,-15459829,-12167867,-12304347,-11976147,-11121602,-10069165,-9476768,-9674407,-12172229,-13815257,-14669288,-11641527,-11908562,-11446974,-7432560,-5261639,-5064003,-5262158,-5921378,-9143438,-12563138,?
16,'2019/09/17 09:59:41:912',1,-12233663,-12170703,-11511995,-9143697,-8288384,-8288123,-8552585,-9210778,-10658230,-11645387,-13024207,-12369623,-11843529,-10922935,-10001828,-9343895,-9146519,-9277594,-9737891,-11513794,-12894941,-12502236,-11779278,-6053473,-789259,-1052429,-2237217,-5197648,-10591653,-15131121,-12764640,-12634850,-11714769,-5265240,-65537,-526600,-7567476,-14408931,-15460597,-15855101,-12764897,-12635877,-11716053,-5924712,-2437424,-3290933,-14014425,-15264241,-15789818,-15921150,-12699103,-13095655,-12243677,-10864587,-10141115,-10009785,-13754339,-14476267,-12308185,-15395834,-12632798,-13949679,-12966373,-11128785,-10930633,-11128267,-12572121,-13885158,-15001331,-15855100,-12697303,-12568801,-12175576,-10597818,-9544609,-6846064,-12764869,-14540261,-14671338,-15459830,-12167867,-12238811,-11976148,-11056067,-10069165,-9477024,-9674408,-12237765,-13815001,-14669288,-11641527,-11974098,-11446975,-7367024,-5261639,-5064003,-5262414,-5921379,-9077902,-12563394,?
17,'2019/09/17 09:59:41:946',1,-12233663,-12170703,-11511994,-9143696,-8288384,-8222586,-8487049,-9210778,-10658230,-11645387,-12958672,-12369623,-11843529,-10988471,-10001828,-9343895,-9146519,-9277594,-9737891,-11514050,-12894941,-12502236,-11844813,-6053472,-789259,-1052429,-2237217,-5197648,-10591653,-15131121,-12764640,-12635106,-11714768,-5264984,-65538,-592136,-7567476,-14408931,-15395061,-15855101,-12764897,-12635877,-11781589,-5924712,-2437680,-3356725,-14014681,-15264241,-15724282,-15921149,-12633312,-13030119,-12243677,-10864586,-10141115,-9944249,-13754339,-14476011,-12242648,-15396091,-12632798,-13949678,-12966373,-11128785,-10930633,-11128268,-12572377,-13885158,-15001331,-15855100,-12697303,-12568801,-12175576,-10597818,-9544609,-6911601,-12764870,-14540261,-14671338,-15459830,-12168123,-12238811,-11975892,-11121603,-10069165,-9411488,-9674408,-12237765,-13880537,-14669544,-11641527,-11974098,-11446975,-7367024,-5261639,-5064003,-5262414,-5921379,-9077903,-12563139,?
18,'2019/09/17 09:59:41:979',1,-12233663,-12170703,-11511994,-9143696,-8288384,-8222586,-8487049,-9210778,-10658230,-11645387,-12958672,-12369623,-11843529,-10988471,-10001828,-9343895,-9146519,-9277594,-9737891,-11514050,-12894941,-12502236,-11844813,-6053472,-789259,-1052429,-2237217,-5197648,-10591653,-15131121,-12764640,-12635106,-11714768,-5264984,-65538,-592136,-7567476,-14408931,-15395061,-15855101,-12764897,-12635877,-11781589,-5924712,-2437680,-3356725,-14014681,-15264241,-15724282,-15921149,-12633312,-13030119,-12243677,-10864586,-10141115,-9944249,-13754339,-14476011,-12242648,-15396091,-12632798,-13949678,-12966373,-11128785,-10930633,-11128268,-12572377,-13885158,-15001331,-15855100,-12697303,-12568801,-12175576,-10597818,-9544609,-6911601,-12764870,-14540261,-14671338,-15459830,-12168123,-12238811,-11975892,-11121603,-10069165,-9411488,-9674408,-12237765,-13880537,-14669544,-11641527,-11974098,-11446975,-7367024,-5261639,-5064003,-5262414,-5921379,-9077903,-12563139,?
19,'2019/09/17 09:59:42:012',1,-12299199,-12170703,-11446459,-9143696,-8288384,-8288122,-8552585,-9210778,-10658230,-11645643,-13024208,-12369623,-11843529,-10922935,-10001828,-9343896,-9146519,-9277594,-9737891,-11513794,-12829405,-12502492,-11779278,-6053472,-789259,-1052430,-2237217,-5197648,-10526117,-15131121,-12764641,-12635105,-11714769,-5264983,-1,-592136,-7567476,-14408931,-15395061,-15855100,-12764898,-12635877,-11781589,-5924712,-2503216,-3356725,-14014681,-15264241,-15724282,-15855613,-12633568,-13095656,-12243677,-10864587,-10141115,-10009785,-13754339,-14410474,-12242648,-15461627,-12632798,-13949678,-12966373,-11128785,-10930633,-11128268,-12572376,-13885158,-15001587,-15855100,-12697560,-12568801,-12175576,-10597818,-9544609,-6911857,-12764870,-14605797,-14671338,-15459830,-12168124,-12304347,-11976148,-11121603,-10069165,-9477025,-9674408,-12238021,-13880537,-14669544,-11641528,-11974098,-11381439,-7367024,-5261639,-5064003,-5262414,-5921379,-9143438,-12563394,?
20,'2019/09/17 09:59:42:046',1,-12233663,-12170703,-11446458,-9143696,-8288384,-8222586,-8552586,-9210778,-10658486,-11645387,-12958672,-12435159,-11843529,-10922935,-10001828,-9343896,-9146519,-9277594,-9737890,-11513795,-12894941,-12502237,-11844814,-6053472,-789259,-1052430,-2237217,-5197648,-10591653,-15131121,-12764640,-12634850,-11714769,-5264984,-2,-592136,-7567476,-14408931,-15460597,-15920637,-12764897,-12635877,-11781589,-5924712,-2503217,-3356725,-13948889,-15264241,-15789818,-15921149,-12699104,-13095656,-12243677,-10864586,-10141115,-10009785,-13754083,-14476011,-12242648,-15396091,-12633054,-13949678,-12966372,-11128785,-10930633,-11128267,-12572376,-13885158,-15001331,-15855099,-12697560,-12568801,-12175576,-10663354,-9544610,-6911857,-12830406,-14540261,-14671338,-15459830,-12168124,-12238811,-11976148,-11121603,-10069165,-9476769,-9674408,-12238020,-13815257,-14669288,-11641528,-11974099,-11381695,-7367024,-5327176,-5064003,-5262414,-5921379,-9143438,-12628930,?
